"ExperimentName","Subject","Session","Procedure.Block.","Running.Block.","Trial","cue_target","Direction","ListNum","JOL","JOL_RT","Group","Recall_prompt","Response","Response_RT","Group.1","Procedure.Trial..1"
"D_JOL C 2",116,1,"BlockProc1","Block1",27,"Business - Death","U",67,0,4646,1,NA,NA,"formal",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",51,"Sight - Debate","U",68,100,4001,1,NA,NA,"sound",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",76,"Bronze - Artery","U",69,93,7616,1,NA,NA,"silver",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",47,"Hand - Fix","U",70,80,4134,1,NA,NA,"foot",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",74,"Position - Machine","U",71,100,3375,1,NA,NA,"front",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",71,"Car - Happy","U",72,100,2859,1,NA,NA,"motor",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",41,"Tuck - Allow","U",73,80,6449,1,NA,NA,"shirt",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",11,"Lion - Art","U",74,99,3252,1,NA,NA,"king",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",16,"Accident - Strong","U",75,99,4953,1,NA,NA,"mistake",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",26,"Riddle - Sugar","U",76,0,7883,1,NA,NA,"question",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",68,"Add - Valley","U",77,100,2996,1,NA,NA,"subtract",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",59,"Would - Cash","U",78,100,5345,1,NA,NA,"ask",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",64,"Sick - Hide","U",79,100,2921,1,NA,NA,"ill",1,"recallproc1"
"D_JOL C 2",116,1,"BlockProc1","Block1",17,"Vase - King","U",80,100,2553,1,NA,NA,"fragile",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",84,"Enough - Full","F",1,100,3693,1,NA,NA,"end",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",64,"Sip - Drink","F",2,100,2055,1,NA,NA,"drink",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",41,"Cave - Dark","F",3,100,2504,1,NA,NA,"dark",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",22,"Seize - Take","F",4,100,2350,1,NA,NA,"sick",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",63,"Growth - Height","F",5,0,3547,1,NA,NA,"height",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",54,"Word - Sentence","F",6,50,3758,1,NA,NA,"choice",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",23,"Wasp - Bug","F",7,100,3309,1,NA,NA,"bee",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",81,"Division - Math","F",8,0,2960,1,NA,NA,"math",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",83,"Attorney - Law","F",9,100,1649,1,NA,NA,"law",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",28,"Fantastic - Great","F",10,15,5915,1,NA,NA,"good",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",53,"Latch - Key","F",11,100,1963,1,NA,NA,"on",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",40,"Chili - Hot","F",12,100,2662,1,NA,NA,"hot",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",82,"Racket - Ball","F",13,100,2180,1,NA,NA,"ball",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",66,"Chore - Work","F",14,100,2188,1,NA,NA,"work",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",48,"Famine - Hunger","F",15,100,2011,1,NA,NA,"hungry",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",18,"Drowsy - Sleep","F",16,95,4967,1,NA,NA,"sleep",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",6,"Stench - Smell","F",17,100,5999,1,NA,NA,"smell",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",46,"Attire - Clothes","F",18,100,2030,1,NA,NA,"clothes",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",20,"Pilot - Plane","F",19,100,2491,1,NA,NA,"plane",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",24,"Blaze - Fire","F",20,100,2961,1,NA,NA,"fire",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",13,"Bad - Delinquent","B",21,100,3171,1,NA,NA,"worse",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",65,"Stomach - Digestion","B",22,100,4237,1,NA,NA,"pain",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",14,"Money - Wage","B",23,100,3330,1,NA,NA,"amount",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",80,"News - Editor","B",24,100,2019,1,NA,NA,"chisel",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",68,"Sting - Hornet","B",25,100,1854,1,NA,NA,"editor",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",60,"Cold - Bitter","B",26,20,3626,1,NA,NA,"hornet",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",12,"Plant - Root","B",27,100,7383,1,NA,NA,"hot",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",59,"Bird - Swan","B",28,100,1967,1,NA,NA,"seed",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",8,"Dog - Paw","B",29,95,7809,1,NA,NA,"nest",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",29,"Out - Way","B",30,100,3664,1,NA,NA,"food",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",31,"Clean - Hygiene","B",31,100,8108,1,NA,NA,"in",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",16,"Water - Bridge","B",32,90,3622,1,NA,NA,"good",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",58,"Rock - Geology","B",33,100,2053,1,NA,NA,"drink",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",33,"War - Revolution","B",34,100,2900,1,NA,NA,"geology",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",50,"Talk - Discussion","B",35,100,2572,1,NA,NA,"revolution",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",35,"Cow - Herd","B",36,100,2553,1,NA,NA,"converse",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",55,"Card - Credit","B",37,100,2285,1,NA,NA,"heard",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",11,"Flower - Orchid","B",38,100,5416,1,NA,NA,"credit",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",45,"Fish - Tuna","B",39,100,2130,1,NA,NA,"plant",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",62,"Hammer - Chisel","B",40,100,1883,1,NA,NA,"tuna",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",79,"Assignment - Due","S",41,0,8730,1,NA,NA,"due",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",21,"Amount - Number","S",42,0,4259,1,NA,NA,"due",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",61,"Site - Location","S",43,30,3650,1,NA,NA,"word",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",30,"Waste - Dump","S",44,100,2636,1,NA,NA,"mess",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",51,"Jury - Trial","S",45,100,3193,1,NA,NA,"judge",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",67,"Design - Architecture","S",46,100,2008,1,NA,NA,"architecture",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",69,"Bar - Grill","S",47,100,2401,1,NA,NA,"grill",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",76,"Liver - Kidney","S",48,100,2022,1,NA,NA,"kidney",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",26,"End - Begin","S",49,90,6726,1,NA,NA,"beginning",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",43,"Wind - Blow","S",50,100,2626,1,NA,NA,"blow",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",49,"Soda - Pop","S",51,100,2881,1,NA,NA,"pop",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",32,"Cheese - Wine","S",52,100,3944,1,NA,NA,"wine",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",71,"Toilet - Bathroom","S",53,10,3141,1,NA,NA,"seat",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",56,"Decision - Choice","S",54,100,1675,1,NA,NA,"choice",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",74,"Foot - Shoe","S",55,100,3196,1,NA,NA,"shoe",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",37,"Future - Past","S",56,10,6160,1,NA,NA,"past",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",75,"Salad - Lettuce","S",57,100,2626,1,NA,NA,"lettuce",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",70,"Bee - Honey","S",58,100,2272,1,NA,NA,"honey",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",7,"Child - Baby","S",59,100,3352,1,NA,NA,"baby",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",9,"Round - Circle","S",60,100,2840,1,NA,NA,"circle",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",15,"Clutter - Pusher","U",61,100,2595,1,NA,NA,"mess",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",36,"Sacking - Dietary","U",62,100,2403,1,NA,NA,"still",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",57,"Hungry - Park","U",63,100,1885,1,NA,NA,"food",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",38,"Woman - Lift","U",64,100,3973,1,NA,NA,"lift",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",85,"Belt - Soon","U",65,100,2792,1,NA,NA,"starting",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",10,"Floor - Discover","U",66,60,6083,1,NA,NA,"space",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",25,"Business - Death","U",67,100,2502,1,NA,NA,"death",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",52,"Sight - Debate","U",68,100,2054,1,NA,NA,"seen",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",17,"Bronze - Artery","U",69,20,7878,1,NA,NA,"hope",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",78,"Hand - Fix","U",70,100,2118,1,NA,NA,"fix",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",39,"Position - Machine","U",71,0,2267,1,NA,NA,"place",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",44,"Car - Happy","U",72,100,2301,1,NA,NA,"happy",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",34,"Tuck - Allow","U",73,0,2887,1,NA,NA,"lift",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",47,"Lion - Art","U",74,100,1781,1,NA,NA,"art",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",27,"Accident - Strong","U",75,95,6089,1,NA,NA,"strong",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",72,"Riddle - Sugar","U",76,0,1746,1,NA,NA,"question",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",42,"Add - Valley","U",77,40,7671,1,NA,NA,"mat",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",77,"Would - Cash","U",78,100,3344,1,NA,NA,"will",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",73,"Sick - Hide","U",79,100,2682,1,NA,NA,"seize",1,"recallproc1"
"D_JOL C 2",119,1,"BlockProc1","Block1",19,"Vase - King","U",80,100,9698,1,NA,NA,"king",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",15,"Enough - Full","F",1,7,2164,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",9,"Sip - Drink","F",2,90,1676,1,NA,NA,"drin",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",74,"Cave - Dark","F",3,90,3396,1,NA,NA,"dark",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",6,"Seize - Take","F",4,10,2475,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",32,"Growth - Height","F",5,40,2847,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",62,"Word - Sentence","F",6,80,4078,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",85,"Wasp - Bug","F",7,40,4487,1,NA,NA,"sting",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",31,"Division - Math","F",8,10,9833,1,NA,NA,"addition",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",27,"Attorney - Law","F",9,90,1796,1,NA,NA,"laaw",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",67,"Fantastic - Great","F",10,95,4087,1,NA,NA,"great",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",48,"Latch - Key","F",11,90,3134,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",23,"Chili - Hot","F",12,90,2703,1,NA,NA,"hot",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",44,"Racket - Ball","F",13,100,1587,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",53,"Chore - Work","F",14,70,5148,1,NA,NA,"clean",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",34,"Famine - Hunger","F",15,100,5253,1,NA,NA,"hungry",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",55,"Drowsy - Sleep","F",16,NA,1014,1,NA,NA,"tired",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",40,"Stench - Smell","F",17,90,3262,1,NA,NA,"smell",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",73,"Attire - Clothes","F",18,95,2374,1,NA,NA,"clothes",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",71,"Pilot - Plane","F",19,80,3376,1,NA,NA,"airplane",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",10,"Blaze - Fire","F",20,7,2668,1,NA,NA,"fire",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",79,"Bad - Delinquent","B",21,80,2351,1,NA,NA,"good",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",26,"Stomach - Digestion","B",22,90,2584,1,NA,NA,"ache",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",29,"Money - Wage","B",23,90,2221,1,NA,NA,"rich",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",50,"News - Editor","B",24,90,4981,1,NA,NA,"chiesel",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",65,"Sting - Hornet","B",25,95,2335,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",37,"Cold - Bitter","B",26,30,4891,1,NA,NA,"bee",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",52,"Plant - Root","B",27,50,2342,1,NA,NA,"hot",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",76,"Bird - Swan","B",28,20,2835,1,NA,NA,"tree",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",64,"Dog - Paw","B",29,90,4509,1,NA,NA,"fly",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",25,"Out - Way","B",30,60,3015,1,NA,NA,"cat",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",51,"Clean - Hygiene","B",31,70,2981,1,NA,NA,"in",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",16,"Water - Bridge","B",32,70,5114,1,NA,NA,"dirt",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",17,"Rock - Geology","B",33,30,4903,1,NA,NA,"bottle",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",14,"War - Revolution","B",34,10,2320,1,NA,NA,"hard",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",70,"Talk - Discussion","B",35,30,10234,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",82,"Cow - Herd","B",36,10,3134,1,NA,NA,"yell",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",49,"Card - Credit","B",37,100,4098,1,NA,NA,"field",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",77,"Flower - Orchid","B",38,95,4545,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",60,"Fish - Tuna","B",39,90,1667,1,NA,NA,"vase",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",18,"Hammer - Chisel","B",40,15,2975,1,NA,NA,"water",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",12,"Assignment - Due","S",41,70,4833,1,NA,NA,"total",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",83,"Amount - Number","S",42,0,6323,1,NA,NA,"",1,"recallproc1"
"D_JOL C 2",123,1,"BlockProc1","Block1",57,"Site - Location","S",43,100,3226,1,NA,NA,"",1,"recallproc1"
