Subject,Condition,JOL,Recall,Direction,ex,bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,0,F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,0,F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0,100,F,1,0,,,Average of Recall,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,0,0,F,1,0,,,,B,,,,,,,,,,,B Total,F,,,,,,,,,,,F Total,S,,,,,,,,,,,S Total,U,,,,,,,,,,,U Total,(blank),(blank) Total,Grand Total
69,A,0,100,F,3,0,,,103,,,0,100,0,0,,,,28.57142857,37.5,25,,,100,,,100,0,,0,88.88888889,66.66666667,74.07407407,0,,,,,0,,,,100,87.5,78.26086957,0,0,,33.33333333,0,0,0,,,0,100,6.896551724,,,44.66019417
69,A,0,0,F,3,0,,,104,20,14.28571429,0,50,0,50,0,66.66666667,100,,45.45454545,32.43243243,,50,40,100,100,66.66666667,50,,50,100,75,65.71428571,100,20,,,0,0,66.66666667,66.66666667,66.66666667,,37.5,42.42424242,0,8.333333333,0,0,,0,,,,,50,7.692307692,,,36.11111111
69,A,0,0,F,3,0,,,105,,,,,,,,0,60,16.66666667,25,30,100,,,0,100,,0,,100,57.14285714,50,55.55555556,66.66666667,,,,,,100,100,100,66.66666667,100,83.33333333,0,0,,,,,0,0,33.33333333,,33.33333333,12.5,,,45.83333333
69,A,0,0,F,3,0,,,106,,0,,,100,0,0,0,50,48.14814815,0,41.66666667,,66.66666667,,,,100,,0,100,80,33.33333333,75,,0,,,100,100,,,100,30,100,57.14285714,0,16.66666667,0,,0,,,,,0,,10.52631579,,,50
54,B,0,0,F,3,0,,,108,,,,,0,20,,,,,20,19.04761905,,,,,,33.33333333,,,,,60,56.52173913,,,,,0,100,,,,,29.41176471,35,,,,0,0,0,0,,,,,0,,,28.23529412
66,B,0,0,F,3,0,,,3,15.68627451,36.73469388,18.36734694,20,20.45454545,27.65957447,26.92307692,38.18181818,42.10526316,34.69387755,48.05825243,33.875,28,38.70967742,46,54.54545455,60,77.31958763,64.81481481,72.72727273,68.18181818,73.07692308,80,67.38035264,33.33333333,30.55555556,40.90909091,41.93548387,41.17647059,60.6741573,42.59259259,61.53846154,51.61290323,68.10344828,75.91973244,60.58041112,6.506849315,11.85185185,10.09174312,8.695652174,13.88888889,15.78947368,6.666666667,0,28.57142857,6.666666667,12,9.668874172,,,43.45088161
54,B,0,0,F,3,0,,,35,50,14.28571429,,,,,,0,,0,100,25,50,33.33333333,0,100,,,,,,,20,35.71428571,0,,,,,,,,,,70,53.84615385,0,0,0,,,,,,,,,0,,,30.6122449
58,B,0,100,F,3,0,,,36,,100,100,0,,0,0,100,,0,9.090909091,19.04761905,,0,0,,100,85.71428571,,,,75,86.66666667,79.31034483,100,66.66666667,,0,100,71.42857143,,,0,0,80,64.28571429,4.545454545,0,0,,,0,,,,,,4,,,44.66019417
70,B,0,0,F,3,0,,,37,,,,,,,,0,,50,,33.33333333,,,,,,,,0,100,100,100,80,,,,,,,,100,100,50,,77.77777778,,,,,,0,,,,,,0,,,66.66666667
39,C,0,100,F,3,0,,,38,0,33.33333333,25,18.18181818,0,0,0,66.66666667,,,0,15,,25,33.33333333,25,100,28.57142857,40,50,33.33333333,,71.42857143,42.5,,33.33333333,0,50,85.71428571,50,0,100,60,0,54.54545455,52.5,0,0,11.11111111,33.33333333,0,0,,0,0,0,0,5,,,28.75
39,C,0,0,F,3,0,,,39,18.18181818,0,,100,66.66666667,50,0,100,50,75,80,48.71794872,45.45454545,,100,100,0,66.66666667,66.66666667,100,75,100,100,71.05263158,50,,,100,50,33.33333333,75,33.33333333,25,100,70,58.97435897,7.894736842,,,,,,,0,,,100,10,,,46.79487179
39,C,0,100,F,3,0,,,40,0,,,,,0,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,66.66666667,66.66666667,0,,,,,0,,,,,,0,,,25
39,C,0,0,F,3,0,,,43,0,0,0,0,0,100,,33.33333333,,0,0,9.523809524,0,0,66.66666667,,,,25,33.33333333,50,83.33333333,80,53.84615385,0,0,,,0,100,0,0,50,50,85.71428571,46.66666667,0,14.28571429,0,0,0,0,,,100,0,,8,,,31.37254902
51,C,0,0,F,3,0,,,44,,,0,,0,,0,0,0,,,0,100,,,,,,,,,,,100,0,100,,,,,,0,100,,100,60,0,0,0,,,,,,,,,0,,,23.52941176
51,C,0,0,F,3,0,,,46,100,100,,,,,,,,33.33333333,73.91304348,73.33333333,,,,,,80,,,,100,100,96.2962963,100,,,100,,100,,,,,92,93.5483871,40,38.46153846,50,,,,,,,,0,38.46153846,,,76.31578947
63,C,0,100,F,3,0,,,48,0,0,16.66666667,25,33.33333333,50,66.66666667,0,25,100,0,27.27272727,0,0,12.5,0,33.33333333,77.77777778,80,,,100,33.33333333,42.10526316,0,0,,25,50,40,44.44444444,100,,,100,47.22222222,0,0,0,0,33.33333333,40,,,,,,8.108108108,,,31.25
35,C,0,100,F,3,0,,,49,0,,0,,,0,0,0,0,50,34.48275862,29.72972973,,,0,0,,,,0,0,33.33333333,67.85714286,54.05405405,50,,,,0,0,,,100,100,71.42857143,68.57142857,9.523809524,0,0,0,,0,,0,0,0,0,5.128205128,,,38.51351351
35,C,0,100,F,3,0,,,50,,,,,100,,,,50,,40,50,,,,100,,100,,50,,50,66.66666667,63.63636364,,,,,,,,50,0,100,100,71.42857143,,0,25,,0,,,0,0,,,10,,,47.22222222
35,C,0,0,F,3,0,,,51,33.33333333,66.66666667,20,0,,0,,,,50,33.33333333,30.76923077,33.33333333,75,75,,100,,,,100,50,66.66666667,65,100,16.66666667,66.66666667,100,100,,0,,33.33333333,100,66.66666667,57.69230769,0,25,33.33333333,0,,100,,,,50,100,20.83333333,,,42.70833333
35,C,0,0,F,3,0,,,52,0,0,0,0,0,0,40,20,,100,33.33333333,13.88888889,0,33.33333333,80,33.33333333,66.66666667,28.57142857,100,100,75,100,100,63.15789474,,0,50,40,25,100,33.33333333,100,50,70,100,58.33333333,5.263157895,10,0,0,0,0,,,,,100,8.823529412,,,36.80555556
39,C,0,0,F,3,0,,,54,0,0,0,0,,,0,0,0,0,25,7.142857143,0,0,20,,,100,66.66666667,,40,100,80,55.17241379,0,0,,,,0,33.33333333,0,33.33333333,75,70,44.44444444,0,0,0,0,0,0,0,0,,,,0,,,26.31578947
39,C,0,100,F,3,0,,,55,,100,33.33333333,14.28571429,0,0,0,0,50,33.33333333,20,17.94871795,,,50,50,42.85714286,100,75,57.14285714,75,50,100,61.11111111,,100,0,0,0,0,33.33333333,50,50,33.33333333,57.14285714,27.77777778,0,0,0,0,50,0,25,0,0,,,5.128205128,,,27.33333333
39,C,0,0,F,3,0,,,56,,66.66666667,33.33333333,,0,,50,0,100,64.28571429,78.57142857,64.1025641,,100,,,,100,,100,50,87.5,92.85714286,89.47368421,0,,,,,100,,,66.66666667,80,96.2962963,89.18918919,20,20,12.5,0,0,0,,,,,0,15.78947368,,,64.47368421
39,C,0,0,F,3,0,,,57,,,,50,0,100,0,100,0,25,,30.76923077,100,,,0,100,100,100,100,100,66.66666667,,86.66666667,,0,,0,66.66666667,100,100,100,50,100,100,78.94736842,0,0,,,,0,,,,,,0,,,64
39,C,0,100,F,3,0,,,58,,,0,0,66.66666667,50,100,0,,,73.07692308,63.15789474,100,,100,100,,100,,100,100,0,86.95652174,87.17948718,0,,100,,,66.66666667,0,,,100,68,66.66666667,0,0,7.142857143,50,0,33.33333333,0,,,,0,9.090909091,,,58.21917808
39,C,0,100,F,3,0,,,59,,,0,,,0,,,22.22222222,20,,16,,,0,,,50,,,100,100,100,87.5,100,,0,,,33.33333333,,,14.28571429,70,50,44,0,0,0,0,0,0,0,,50,,,4.166666667,,,33.33333333
39,C,0,0,F,3,0,,,60,25,0,,,0,29.41176471,66.66666667,0,100,,20,27.77777778,0,66.66666667,0,50,100,90.90909091,100,100,100,100,77.77777778,72.97297297,0,0,,,0,83.33333333,,50,100,50,71.42857143,63.15789474,0,0,33.33333333,,,0,,,,,,3.03030303,,,43.05555556
43,C,0,0,F,3,0,,,61,,60,0,,,100,,,100,,63.15789474,62.96296296,,33.33333333,100,,,100,,,,,84,81.81818182,,66.66666667,,,,66.66666667,0,,,,70.37037037,65.71428571,,0,,,100,0,0,,,,0,20,,,68
43,C,0,0,F,3,0,,,62,,0,,,,,,,,33.33333333,100,44.44444444,,,,,,,,,100,100,100,100,,,,,,,,,,100,,100,0,55.55555556,0,,,,,,,,,38.46153846,,,63.88888889
51,C,0,100,F,3,0,,,63,,,0,0,0,50,12.5,75,50,33.33333333,,41.17647059,100,0,,,50,100,80,80,71.42857143,100,,76.66666667,,0,,,,75,60,80,75,80,,68,0,0,0,0,0,,,,100,,,2.941176471,,,44.71544715
71,C,0,100,F,3,0,,,64,0,0,,0,,0,,66.66666667,,25,100,29.16666667,0,,,,,100,,,,62.5,100,63.15789474,0,0,,,,,,,0,52.63157895,33.33333333,42.30769231,33.33333333,0,,,0,,,,,0,,7.142857143,,,37.34939759
44,D,0,100,F,3,0,,,65,0,,,,100,58.33333333,66.66666667,,,,66.66666667,56,0,,,100,,100,50,,,,80,77.77777778,100,,,0,,66.66666667,66.66666667,,100,,100,81.81818182,14.28571429,0,0,,,100,0,,,,0,18.51851852,,,55.43478261
60,D,0,0,F,3,0,,,66,,50,100,0,,0,0,0,25,50,40,30,0,,50,,,75,0,100,100,,33.33333333,57.14285714,0,0,,0,,100,100,0,100,75,42.85714286,50,0,0,,,,0,,,,0,,0,,,37.5
60,D,0,0,F,3,0,,,67,100,40,100,66.66666667,25,0,0,100,50,0,50,38.23529412,,0,100,83.33333333,66.66666667,50,83.33333333,100,0,50,71.42857143,69.44444444,0,100,66.66666667,100,33.33333333,100,40,,33.33333333,0,77.77777778,63.15789474,0,14.28571429,0,0,100,0,0,,,,,5.714285714,,,44.75524476
68,D,0,0,F,3,0,,,68,,0,,,0,,0,0,,0,0,0,0,0,0,,,0,0,0,,,0,0,,100,,100,0,0,,,,0,100,42.85714286,0,,0,0,0,0,,,0,,0,0,,,8.823529412
48,D,0,0,F,3,0,,,69,0,,,100,25,16.66666667,66.66666667,40,100,33.33333333,0,30.76923077,10,,100,,0,100,40,100,75,75,66.66666667,55,0,,,,,60,25,33.33333333,50,40,66.66666667,45,0,,33.33333333,0,0,16.66666667,0,0,0,0,0,7.692307692,,,34.81012658
48,D,0,0,F,3,0,,,70,,0,,,0,0,,100,100,25,0,36.36363636,0,100,,0,,0,100,100,50,75,66.66666667,62.5,,,100,50,0,,0,100,0,100,83.33333333,62.5,0,100,50,,0,,,,,,,30,,,50.94339623
52,D,0,0,F,3,0,,,71,,100,0,0,0,0,100,33.33333333,33.33333333,16.66666667,27.27272727,27.02702703,100,100,,,100,100,66.66666667,100,0,50,84.21052632,75.67567568,,50,,100,,100,40,60,100,100,69.23076923,72.97297297,0,0,16.66666667,25,14.28571429,25,0,0,100,,0,15.78947368,,,47.65100671
